codigo,nome,modelo,fabricante,cores,tamanho
1,iPhone 13 Pro,Pro Max,Apple,Prateado,Pequeno
2,Samsung Galaxy S21,5G,Samsung,Cinza Fantasma,Médio
3,Google Pixel 6,Pro,Google,Preto Tempestuoso,Grande
4,MacBook Air,M1,Apple,Cinza Espacial,Pequeno
5,Sony PlayStation 5,Padrão,Sony,Preto Jet,Médio
6,Microsoft Surface Laptop 4,Microsoft,Platina,Grande
7,Bose QuietComfort 45,Fones de Ouvido sem Fio,Bose,Preto,Pequeno
8,Dell XPS 13,Edição 2021,Dell,Branco Ártico,Médio
9,Nikon Z6,Câmera Mirrorless Full Frame,Nikon,Preto,Grande
10,Canon EOS R6,Câmera Mirrorless Full Frame,Canon,Prateado,Pequeno
11,Lenovo ThinkPad X1 Carbon,Lenovo,Preto,Médio
12,LG OLED Série C1,TV OLED 4K,LG,Cinza Grafite,Grande
13,Samsung Galaxy Watch 4,Clássico,Samsung,Preto Místico,Pequeno
14,Fitbit Charge 5,Fitbit,Granito,Médio
15,GoPro Hero 10,Câmera de Ação,GoPro,Preto,Grande
16,Bosch Série 800,Lava-Louças em Aço Inoxidável,Bosch,Aço Inoxidável,Pequeno
17,Batedeira KitchenAid Artisan,KitchenAid,Vermelho Império,Médio
18,Weber Genesis II E-335,Grelha a Gás Propano de 3 Queimadores,Weber,Preto,Grande
19,Kit de Furadeira sem Fio DeWalt 20V MAX,DeWalt,Amarelo,Pequeno
20,Cadeira Herman Miller Aeron,Herman Miller,Cinza Grafite,Médio